doc_id,domain,title,issuer,doc_type,priority,update_cadence,download_mode,direct_pdf_url,official_url,version_or_effective,supersedes,tags
LEND-DLD-2025,lending_credit,"Reserve Bank of India (Digital Lending) Directions, 2025",Reserve Bank of India,directions,P1,on-change,direct,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/36NT8C402BE7C2A349E0BFFF3C526668CD7A.PDF,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=12848,2025-05-08,"2022 Digital Lending Guidelines; 2023 DLG Guidelines","digital-lending;kfs;cooling-off;dlg;lsp;dla;apr"
AML-MD-KYC,aml_kyc,"RBI Master Direction - Know Your Customer (KYC) Direction, 2016 (updated 14 Aug 2025)",Reserve Bank of India,master_direction,P1,quarterly,direct,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MD18KYCF6E92C82E1E1419D87323E3869BC9F13.PDF,https://www.rbi.org.in/commonman/English/scripts/notification.aspx?id=2607,check-latest,,"kyc;vcip;video-kyc;ckyc;str;re-kyc"
INV-MF-MASTERCIRC-2026,investments_wealth,"SEBI Master Circular for Mutual Funds (20 Mar 2026)",Securities and Exchange Board of India,master_circular,P1,on-change,direct,https://www.sebi.gov.in/sebi_data/attachdocs/mar-2026/1774024028162.pdf,https://www.sebi.gov.in/legal/master-circulars/mar-2026/master-circular-for-mutual-funds_100491.html,2026-03-20,"Master Circular for Mutual Funds dated 27 Jun 2024","mutual-funds;nfo;disclosure;commission"
PAY-MD-PPI,payments_banking,"RBI Master Directions on Prepaid Payment Instruments (MD-PPIs), 2021",Reserve Bank of India,master_direction,P1,quarterly,manual,,https://www.rbi.org.in/scripts/BS_ViewMasDirections.aspx?id=12156,check-latest,"2017 PPI Master Direction","wallet;ppi;kyc-limits;interoperability;loading"
PAY-MD-PA,payments_banking,"RBI Guidelines/Directions on Payment Aggregators and Payment Gateways",Reserve Bank of India,master_direction,P1,quarterly,manual,,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,check-latest,,"payment-aggregator;escrow;settlement"
PAY-NPCI-UPI,payments_banking,"NPCI UPI Procedural Guidelines & Circulars",National Payments Corporation of India,circular,P1,monthly,manual,,https://www.npci.org.in/what-we-do/upi/circular,check-latest,,"upi;autopay;mandate;chargeback"
PAY-NPCI-BBPS,payments_banking,"NPCI Bharat BillPay (BBPS) Guidelines & Circulars",NPCI Bharat BillPay Ltd,circular,P2,monthly,manual,,https://www.npci.org.in/what-we-do/bharat-billpay/product-overview,check-latest,,"bbps;bill-payment"
LEND-MD-NBFC-FPC,lending_credit,"RBI Master Direction - NBFC Scale Based Regulation / Fair Practices Code",Reserve Bank of India,master_direction,P1,quarterly,manual,,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,check-latest,,"nbfc;fair-practices;interest;recovery"
DP-DPDP-RULES-2025,data_privacy_cyber,"Digital Personal Data Protection Rules, 2025 (G.S.R. 846(E))",Ministry of Electronics and Information Technology,rules,P1,on-change,manual,,https://www.meity.gov.in/documents/act-and-policies/digital-personal-data-protection-rules-2025-gDOxUjMtQWa,2025-11-13,"Draft DPDP Rules dated 03 Jan 2025","dpdp-rules;consent-manager;breach-notification;children-data;sdf"
DP-DPDPA-2023,data_privacy_cyber,"Digital Personal Data Protection Act, 2023",Parliament of India,bare_act,P1,stable,manual,,https://www.indiacode.nic.in (search: Digital Personal Data Protection Act 2023),2023,,"dpdp;consent;data-principal;rights"
